Date,AXISBANK.NS,HDFCBANK.NS,ICICIBANK.NS,KOTAKBANK.NS
2021-09-02,798.746337890625,743.4910888671875,697.5291137695312,353.36749267578125
2021-09-03,794.0695190429688,737.4318237304688,696.7115478515625,356.4408264160156
2021-09-06,796.8556518554688,732.5889892578125,693.6815185546875,352.99951171875
2021-09-07,783.9694213867188,734.2500610351562,689.5933837890625,351.0699768066406
2021-09-08,790.7857666015625,737.5955810546875,693.4891357421875,361.1156005859375
2021-09-09,786.2581787109375,733.9459228515625,692.8157958984375,361.6128845214844
2021-09-13,784.467041015625,727.83984375,680.4552612304688,366.0290222167969
2021-09-14,790.4873046875,724.5645751953125,680.5033569335938,371.5391540527344
2021-09-15,787.5020141601562,723.7457885742188,687.1405029296875,372.324951171875
2021-09-16,798.6468505859375,729.8985595703125,699.5010375976562,379.30712890625
2021-09-17,803.3734741210938,740.2860107421875,692.7195434570312,399.4282531738281
2021-09-20,791.9300537109375,729.8517456054688,682.956298828125,398.13525390625
2021-09-21,791.4325561523438,726.1553955078125,684.7357177734375,400.0249938964844
2021-09-22,784.467041015625,717.6162719726562,676.5594482421875,394.97235107421875
2021-09-23,808.1498413085938,734.6010131835938,689.6895751953125,402.6209716796875
2021-09-24,794.1192626953125,749.3632202148438,695.4129638671875,403.4365539550781
2021-09-27,793.0247192382812,760.3822631835938,702.1943969726562,404.4809265136719
2021-09-28,785.3128662109375,755.6798706054688,689.8338623046875,411.41339111328125
2021-09-29,778.2975463867188,745.7604370117188,682.4752197265625,403.9040222167969
2021-09-30,762.7743530273438,746.2750244140625,674.1546630859375,398.94091796875
2021-10-01,764.3665771484375,740.5433349609375,665.978515625,396.5637512207031
2021-10-04,775.1630859375,741.970458984375,673.5294799804688,396.04656982421875
2021-10-05,778.7453002929688,746.509033203125,670.5475463867188,394.3358154296875
2021-10-06,775.1133422851562,755.609619140625,663.2369995117188,389.04443359375
2021-10-07,773.2724609375,753.5509033203125,675.4532470703125,388.3879699707031
2021-10-08,778.0985717773438,749.8778686523438,676.607666015625,385.185302734375
2021-10-11,783.2730102539062,764.4530029296875,686.1304931640625,392.95330810546875
2021-10-12,793.2236938476562,762.4877319335938,681.6094970703125,396.8720703125
2021-10-13,790.6862182617188,767.0731811523438,682.9081420898438,399.70672607421875
2021-10-14,798.0995483398438,789.5323486328125,699.5972290039062,401.3876037597656
2021-10-18,809.2941284179688,781.53125,717.0559692382812,400.1543273925781
2021-10-19,797.7015380859375,790.1405639648438,718.9797973632812,404.87872314453125
2021-10-20,800.8359985351562,783.1923217773438,717.4406127929688,400.920166015625
2021-10-21,803.8211669921875,784.3385620117188,726.72314453125,426.4420471191406
2021-10-22,812.6773681640625,786.4207153320312,730.3782958984375,431.9422302246094
2021-10-25,840.9375,775.3081665039062,809.6397705078125,428.5804443359375
2021-10-26,837.7532958984375,773.319580078125,797.8082275390625,439.8096618652344
2021-10-27,783.6212158203125,768.6640625,803.1950073242188,435.2940673828125
2021-10-28,754.61474609375,745.6434326171875,768.2776489257812,417.44073486328125
2021-10-29,738.3453369140625,740.613525390625,771.5,404.0432434082031
2021-11-01,748.6443481445312,751.1177978515625,773.2796020507812,413.0644226074219
2021-11-02,752.1270751953125,751.7963256835938,770.4420166015625,413.09423828125
2021-11-03,746.9029541015625,739.9583129882812,756.0133056640625,405.31640625
2021-11-04,749.2413940429688,745.8072509765625,752.3099365234375,409.1854248046875
2021-11-08,747.3507080078125,748.7549438476562,750.4342041015625,421.4888000488281
2021-11-09,741.3803100585938,735.65380859375,756.5904541015625,417.1821594238281
2021-11-10,745.6591186523438,727.699462890625,751.15576171875,412.97491455078125
2021-11-11,734.414794921875,724.4476318359375,742.0655517578125,408.60858154296875
2021-11-12,732.4246215820312,726.646728515625,747.0193481445312,412.7063903808594
2021-11-15,729.638427734375,728.6353149414062,743.8451538085938,417.2020263671875
2021-11-16,722.5734252929688,724.3073120117188,734.9474487304688,414.32763671875
2021-11-17,708.84130859375,716.25927734375,732.3021850585938,408.40960693359375
2021-11-18,702.8709106445312,720.2833862304688,733.84130859375,402.71051025390625
2021-11-22,683.0192260742188,709.0302734375,723.3563842773438,388.9847412109375
2021-11-23,682.2728881835938,709.1239624023438,723.2120971679688,394.4451599121094
2021-11-24,681.775390625,710.2937622070312,731.244140625,400.1145324707031
2021-11-25,676.5512084960938,713.9900512695312,722.4425659179688,404.8289794921875
2021-11-26,658.4905395507812,697.1221923828125,694.6915283203125,390.7452087402344
2021-11-29,647.8930053710938,702.4329833984375,691.0362548828125,401.7456970214844
2021-11-30,652.420654296875,698.8302001953125,687.1405029296875,390.2677917480469
2021-12-01,676.2525634765625,704.0238037109375,699.9819946289062,388.5670471191406
2021-12-02,672.7698974609375,713.896484375,694.8839721679688,390.7353210449219
2021-12-03,669.6851196289062,708.1881713867188,689.0161743164062,380.7792053222656
2021-12-06,659.833984375,703.6260986328125,682.5233764648438,375.01043701171875
2021-12-07,683.6162109375,713.8731079101562,706.6672973632812,385.3444519042969
2021-12-08,693.6664428710938,727.0211181640625,724.7030639648438,382.0224609375
2021-12-09,690.5320434570312,714.4111328125,726.2421875,381.20684814453125
2021-12-10,684.6610107421875,712.399169921875,729.1278686523438,377.3079528808594
2021-12-13,700.532470703125,707.0651245117188,725.2802734375,372.6034240722656
2021-12-14,707.3985595703125,702.9944458007812,729.753173828125,366.0986328125
2021-12-15,708.9906005859375,701.8480834960938,723.5968627929688,371.4695129394531
2021-12-16,706.1546630859375,701.8948974609375,712.9197998046875,370.1466979980469
2021-12-17,685.5068969726562,689.2382202148438,700.5592041015625,356.82879638671875
2021-12-20,671.028564453125,667.0598754882812,682.9081420898438,346.6240234375
2021-12-21,662.5703125,674.6163940429688,692.9119262695312,345.4404296875
2021-12-22,666.0530395507812,676.2072143554688,704.8877563476562,350.5826110839844
2021-12-23,675.4566650390625,675.6924438476562,703.44482421875,353.2083740234375
2021-12-24,664.2122192382812,673.259521484375,699.4048461914062,347.7976379394531
2021-12-27,668.8394165039062,678.8275146484375,707.9658813476562,352.7806701660156
2021-12-28,672.1231689453125,683.5064697265625,707.7734985351562,353.06915283203125
2021-12-29,667.197509765625,680.2545166015625,707.6773071289062,350.940673828125
2021-12-30,665.5556030273438,683.8339233398438,707.6773071289062,349.1602478027344
2021-12-31,675.2078247070312,692.20947265625,711.957763671875,357.28631591796875
2022-01-03,692.920166015625,711.0422973632812,735.57275390625,362.92584228515625
2022-01-04,705.6571655273438,715.2066040039062,743.4122924804688,368.5255126953125
2022-01-05,723.3197021484375,732.1912841796875,758.0332641601562,382.3606262207031
2022-01-06,726.7029418945312,720.4470825195312,755.1475219726562,376.3431701660156
2022-01-07,727.00146484375,725.5003051757812,763.0352172851562,378.7998962402344
2022-01-10,739.141357421875,729.5243530273438,779.86865234375,387.4928283691406
2022-01-11,739.5891723632812,732.6826171875,779.7723999023438,385.2748107910156
2022-01-12,743.17138671875,728.3545532226562,792.3734741210938,389.2135009765625
2022-01-13,737.0517578125,714.9492797851562,793.2872924804688,383.1960754394531
2022-01-14,718.1453247070312,722.9737548828125,788.766357421875,385.5533142089844
2022-01-17,709.139892578125,711.9078979492188,788.093017578125,385.4041442871094
2022-01-18,721.6281127929688,715.5341186523438,791.7482299804688,386.3390808105469
2022-01-19,726.00634765625,710.4807739257812,777.800537109375,379.078369140625
2022-01-20,725.3098754882812,706.0592041015625,779.3876953125,376.482421875
2022-01-21,708.9906005859375,711.9546508789062,773.856689453125,376.711181640625
2022-01-24,701.1295166015625,695.6016235351562,768.0372314453125,364.2088317871094
2022-01-25,748.4951171875,696.2567749023438,771.1152954101562,368.93328857421875
2022-01-27,770.0384521484375,690.127197265625,764.3818969726562,375.8160705566406
2022-01-28,760.9335327148438,684.6527709960938,751.3961791992188,377.61627197265625
2022-01-31,769.2423706054688,695.1572265625,758.7547607421875,369.4504699707031
2022-02-01,778.048828125,700.4443969726562,779.435791015625,374.4335021972656
2022-02-02,800.1394653320312,716.4464721679688,782.7543334960938,386.4285888671875
2022-02-03,795.61181640625,709.0302734375,778.13720703125,379.7547302246094
2022-02-04,794.61669921875,713.0776977539062,774.3858032226562,374.81146240234375
2022-02-07,785.7108154296875,686.945556640625,756.4461669921875,363.7215270996094
2022-02-08,794.61669921875,683.9977416992188,762.3137817382812,361.6029357910156
2022-02-09,799.890625,700.7251586914062,772.2213745117188,365.0244445800781
2022-02-10,805.8113403320312,713.5923461914062,774.818603515625,371.42974853515625
2022-02-11,799.8409423828125,710.6679077148438,760.6785278320312,363.6816711425781
2022-02-14,769.5408935546875,689.5422973632812,724.9916381835938,347.48931884765625
2022-02-15,793.0247192382812,710.1766967773438,746.4903564453125,360.6679992675781
2022-02-16,793.1242065429688,709.2174682617188,734.9474487304688,364.039794921875
2022-02-17,778.9443969726562,704.889404296875,721.7692260742188,361.50347900390625
2022-02-18,783.5217895507812,707.6265869140625,720.37451171875,363.3435363769531
2022-02-21,784.9646606445312,712.1886596679688,725.7130737304688,363.4529724121094
2022-02-22,775.3124389648438,706.8545532226562,722.6830444335938,366.3671569824219
2022-02-23,773.3718872070312,702.2692260742188,716.2382202148438,375.1894226074219
2022-02-24,726.7029418945312,664.135498046875,680.4552612304688,357.0376892089844
2022-02-25,754.3162841796875,681.307373046875,702.2424926757812,369.3410949707031
2022-02-28,738.7433471679688,667.340576171875,714.41064453125,366.5660705566406
2022-03-02,746.5546264648438,643.0098266601562,687.6213989257812,359.25567626953125
2022-03-03,734.0167846679688,641.4891357421875,671.7018432617188,356.5204772949219
2022-03-04,711.4783325195312,639.3836059570312,661.84228515625,348.5436096191406
2022-03-07,664.2620239257812,619.8722534179688,628.8488159179688,340.5369873046875
2022-03-08,667.0980224609375,621.2760009765625,639.6702880859375,342.7649230957031
2022-03-09,670.8792724609375,641.5593872070312,642.0269165039062,345.94769287109375
2022-03-10,691.5270385742188,651.6425170898438,650.828369140625,348.98126220703125
2022-03-11,687.4472045898438,653.5609741210938,652.0789184570312,350.70196533203125
